,X,Y,Y_appr
533,672.5405405405406,87.90756199718987,87.98421275658217
534,673.2432432432433,87.93069180567728,88.00707866923707
535,673.945945945946,87.95378019044969,88.02989676874256
536,674.6486486486486,87.97682726502862,88.05266719007818
537,675.3513513513514,87.99983314254405,88.07539006822353
538,676.0540540540541,88.02279793573555,88.09806553815812
539,676.7567567567568,88.04572175695351,88.12069373486153
540,677.4594594594595,88.06860471816022,88.14327479331334
541,678.1621621621622,88.09144693093111,88.16580884849307
542,678.8648648648649,88.11424850645585,88.18829603538032
543,679.5675675675676,88.1370095555396,88.21073648895461
544,680.2702702702703,88.15973018860417,88.2331303441955
545,680.9729729729729,88.18241051568901,88.25547773608258
546,681.6756756756756,88.20505064645262,88.27777879959542
547,682.3783783783783,88.22765069017358,88.30003366971354
548,683.081081081081,88.25021075575171,88.32224248141651
549,683.7837837837837,88.27273095170938,88.3444053696839
550,684.4864864864865,88.29521138619246,88.36652246949527
551,685.1891891891892,88.31765216697163,88.38859391583014
552,685.8918918918919,88.34005340144357,88.41061984366814
553,686.5945945945946,88.36241519663196,88.4326003879888
554,687.2972972972973,88.38473765918889,88.45453568377164
555,688.0,88.4070208953958,88.47642586599628
556,688.7027027027027,88.42926501116479,88.49827106964221
557,689.4054054054054,88.45147011203974,88.52007142968904
558,690.1081081081081,88.47363630319742,88.54182708111634
559,690.8108108108108,88.4957636894488,88.56353815890364
560,691.5135135135135,88.51785237524,88.5852047980305
561,692.2162162162163,88.53990246465372,88.60682713347651
562,692.918918918919,88.56191406141016,88.6284053002212
563,693.6216216216217,88.58388726886832,88.64993943324413
564,694.3243243243244,88.60582219002711,88.67142966752485
565,695.0270270270271,88.62771892752659,88.69287613804295
566,695.7297297297298,88.64957758364898,88.71427897977799
567,696.4324324324325,88.67139826031993,88.73563832770947
568,697.1351351351352,88.69318105910975,88.75695431681703
569,697.8378378378379,88.71492608123438,88.77822708208018
570,698.5405405405406,88.73663342755664,88.79945675847844
571,699.2432432432433,88.75830319858751,88.82064348099149
572,699.945945945946,88.77993549448703,88.8417873845988
573,700.6486486486486,88.80153041506571,88.86288860427996
574,701.3513513513514,88.82308805978546,88.88394727501449
575,702.0540540540541,88.84460852776091,88.90496353178199
576,702.7567567567568,88.86609191776054,88.925937509562
577,703.4594594594595,88.88753832820768,88.9468693433341
578,704.1621621621622,88.90894785718191,88.96775916807783
579,704.8648648648649,88.93032060241995,88.98860711877276
580,705.5675675675676,88.95165666131707,89.00941333039844
581,706.2702702702703,88.9729561309279,89.03017793793444
582,706.9729729729729,88.99421910796792,89.0509010763603
583,707.6756756756756,89.0154456888144,89.07158288065563
584,708.3783783783783,89.03663596950761,89.0922234857999
585,709.081081081081,89.05779004575191,89.11282302677276
586,709.7837837837837,89.07890801291698,89.13338163855371
587,710.4864864864865,89.09998996603882,89.15389945612233
588,711.1891891891892,89.12103599982106,89.1743766144582
589,711.8918918918919,89.14204620863589,89.19481324854087
590,712.5945945945946,89.1630206865254,89.21520949334985
591,713.2972972972973,89.18395952720259,89.23556548386475
592,714.0,89.20486282405246,89.2558813550651
593,714.7027027027027,89.22573067013329,89.27615724193049
594,715.4054054054054,89.24656315817762,89.29639327944048
595,716.1081081081081,89.26736038059347,89.31658960257462
596,716.8108108108108,89.28812242946542,89.33674634631245
597,717.5135135135135,89.30884939655569,89.35686364563352
598,718.2162162162163,89.32954137330539,89.37694163551743
599,718.918918918919,89.35019845083546,89.39698045094374
600,719.6216216216217,89.37082071994797,89.41698022689198
601,720.3243243243244,89.39140827112706,89.43694109834172
602,721.0270270270271,89.41196119454025,89.45686320027252
603,721.7297297297298,89.4324795800393,89.47674666766395
604,722.4324324324325,89.45296351716155,89.49659163549555
605,723.1351351351352,89.47341309513088,89.51639823874689
606,723.8378378378379,89.49382840285891,89.53616661239752
607,724.5405405405406,89.51420952894604,89.55589689142704
608,725.2432432432433,89.53455656168259,89.57558921081494
609,725.945945945946,89.55486958904982,89.59524370554081
610,726.6486486486486,89.57514869872108,89.61486051058424
611,727.3513513513514,89.59539397806304,89.63443976092478
612,728.0540540540541,89.61560551413648,89.65398159154194
613,728.7567567567568,89.63578339369765,89.67348613741532
614,729.4594594594595,89.65592770319924,89.69295353352447
615,730.1621621621622,89.67603852879148,89.71238391484897
616,730.8648648648649,89.69611595632323,89.73177741636837
617,731.5675675675676,89.71616007134304,89.75113417306221
618,732.2702702702703,89.73617095910028,89.77045431991002
619,732.972972972973,89.75614870454616,89.78973799189143
620,733.6756756756756,89.77609339233483,89.80898532398601
621,734.3783783783783,89.79600510682451,89.82819645117323
622,735.081081081081,89.81588393207844,89.8473715084327
623,735.7837837837837,89.83572995186597,89.86651063074396
624,736.4864864864865,89.85554324966384,89.88561395308662
625,737.1891891891892,89.87532390865688,89.9046816104402
626,737.8918918918919,89.89507201173934,89.92371373778425
627,738.5945945945946,89.9147876415159,89.94271047009838
628,739.2972972972973,89.93447088030264,89.96167194236207
629,740.0,89.95412181012819,89.98059828955493
630,740.7027027027027,89.97374051273475,89.99948964665657
631,741.4054054054054,89.99332706957907,90.0183461486464
632,742.1081081081081,90.01288156183361,90.03716793050415
633,742.8108108108108,90.03240407038751,90.05595512720924
634,743.5135135135135,90.05189467584775,90.07470787374135
635,744.2162162162163,90.0713534585399,90.09342630507996
636,744.918918918919,90.0907804985095,90.11211055620464
637,745.6216216216217,90.11017587552287,90.13076076209495
638,746.3243243243244,90.12953966906832,90.14937705773045
639,747.0270270270271,90.14887195835696,90.16795957809074
640,747.7297297297298,90.16817282232392,90.18650845815529
641,748.4324324324325,90.18744233962923,90.20502383290375
642,749.1351351351352,90.20668058865894,90.22350583731566
643,749.8378378378379,90.22588764752614,90.24195460637054
644,750.5405405405406,90.24506359407191,90.26037027504799
645,751.2432432432433,90.26420850586634,90.27875297832756
646,751.945945945946,90.28332246020967,90.29710285118878
647,752.6486486486486,90.30240553413307,90.31542002861124
648,753.3513513513514,90.3214578043999,90.3337046455745
649,754.0540540540541,90.34047934750647,90.35195683705811
650,754.7567567567568,90.35947023968328,90.37017673804161
651,755.4594594594595,90.37843055689576,90.38836448350457
652,756.1621621621622,90.39736037484555,90.4065202084266
653,756.8648648648649,90.41625976897124,90.42464404778718
654,757.5675675675676,90.43512881444951,90.44273613656594
655,758.2702702702703,90.45396758619606,90.4607966097424
